# time, rx loop voltage
t,v
1.966000e-05,5.343596e-06
2.316000e-05,3.067730e-06
2.766000e-05,2.312089e-06
3.316000e-05,1.682293e-06
3.966000e-05,1.180389e-06
4.766000e-05,7.762630e-07
5.766000e-05,4.806881e-07
7.016000e-05,4.453849e-07
8.566000e-05,3.641550e-07
1.051600e-04,2.479821e-07
1.296600e-04,1.818625e-07
1.596600e-04,1.319805e-07
1.966600e-04,9.477679e-08
2.426600e-04,6.721863e-08
2.996600e-04,4.729176e-08
3.706600e-04,3.313542e-08
4.591600e-04,2.340988e-08
5.686600e-04,1.669955e-08
7.041600e-04,1.196019e-08
8.726600e-04,8.433895e-09
1.082160e-03,5.830871e-09
1.341660e-03,3.942582e-09
1.663660e-03,2.584137e-09
2.063660e-03,1.648521e-09
2.560160e-03,1.037103e-09
3.176160e-03,6.405425e-10
3.940660e-03,3.898012e-10
4.889660e-03,2.322588e-10
6.067160e-03,1.410453e-10
7.528160e-03,8.211314e-11
9.341660e-03,4.798554e-11
1.159267e-02,2.804964e-11
1.438617e-02,1.469373e-11
1.785317e-02,8.255282e-12
2.215567e-02,4.752541e-12
