# time, tx loop current
t,i
-9.904600e-03,3.553000e-01
-9.809200e-03,5.859200e-01
-9.713800e-03,7.365700e-01
-9.618400e-03,8.336700e-01
-9.523000e-03,8.951600e-01
-9.427600e-03,9.331600e-01
-9.332200e-03,9.582000e-01
-9.236800e-03,9.764300e-01
-9.046900e-03,1.000000e+00
0.000000e+00,1.000000e+00
3.000000e-07,9.524800e-01
1.000000e-06,9.239300e-01
1.500000e-06,8.464800e-01
2.000000e-06,8.032900e-01
7.400000e-06,1.966300e-01
8.500000e-06,1.048700e-01
9.500000e-06,5.483600e-02
1.070000e-05,2.404500e-02
1.330000e-05,0.000000e+00
